Business_reviews,Amount
WrZaL6BxHqVqt3sAcJ-5Rg,1020
zJmp_J8SUNosLxk6borpFg,1018
wUZXm4KN2wIqlfkvXVZXUw,1017
OCzo8T-76iJ_QVB2UX5SEQ,1016
XrikSy0DQ_fhVCaRRBJI-g,1015
MI7cUsPiQGYQRuQmn3MbtA,1015
RRCgIohWjaeGtlbpcYJBbw,1014
YSgcojsb2kWHXNLWaGCuBA,1014
9OCsSHr6OCSyR91BFIbszQ,1013
8Vo6LN9gqULhXzoxj5k6kQ,1012
IJEivHHf5A8LzXXOn0o0Nw,1009
ZfOS7Mz-iGseNxBhlhXm_w,1008
yeHLiKNp0hyR-ig4M6us-w,1005
ELY0HI8GDEx0jkmREVna0A,1003
cOXc8c85Ms6dMEAJazLXHQ,1003
nYPzsOjvida-ne7swSPHpA,1002
z_7TZeTXsDH6MmkPHQN8nQ,1002
SCjUeZfjafJ88fWWQjRh2w,1001
g-IXI3v3fOudMsyLPKb-eQ,999
J6ZSgoKCLBDMMzuhM-aYGg,998
BHnCAV4_hgqgNZGdfXNJkA,996
k-tHn9uxgWdq1ROHqwc-lw,995
U2hkeMI-q4cS35QolJYN0A,993
6FX09pOrazvGT9s6_nQ7CQ,992
sVZb87xjhbCWHQ2UXOGLrA,991
DPtdBtLp6ng9cAB9_rzB6g,991
4i4kmYm9wgSNyF1b6gKphg,990
b7V_5q22_eTeHlYzq1bpFw,984
6pVVwtFmd7VBsgyFPHvU_w,984
Z4PF4EtM12L7nwOHZHFJNA,983
CoZ2mpsMBP8HUG1ymKoZTg,982
dG-gZOWzn8iO1Rvv_fbXxA,980
V2xSuNLZb6QAb7GdNkI3rg,978
QTbahs-GVuWYL5yfdjH34A,978
QA8QLpwf_YT9C2ST5YJ0vw,975
C26xmwM2_OgJJi2BbL3KkQ,973
BnzAXu_3S2CRQOG_vMIYRw,972
snTpO07JxjGhwJbE4RDFIA,969
TunmRrfZb7bt53T6HJi4UQ,967
NGR_aVWJ-W_KHvBDrmFP1A,966
oFbwMxqaCJfIzAEmwaXD3Q,964
_V6hl1oGkTV2KbGeax_HPA,962
_MWbuRiTqbWEjlfxRAvzWQ,961
Mr7Aov2n7wPCpwaUxk8lCw,960
TNTBObKmICMn13T0pyAGyg,959
8gY3LGFUMIQubovGbSd7Nw,958
GSOLNXG5-IPvNj0DPf3kOQ,948
hXvf5a798WvQtFn0Zbh2yw,948
5SbXk54zWe22jg95R-8Fjw,947
9ocQBw69M6V3N9LUafw2dg,946
UnBs9SfFGQ7TpE_3uYIqfg,946
CYSPKiVdoPX3erovujnE9Q,945
nTBStZYJfHGdSZJbpaBiPA,945
yoQBK3OUDqWEFoUDE5lM4w,945
RscMwBafa1cZh94tGlZT_Q,944
oOSMOJptLRbmEDjp0YnEPw,944
NFzfuIFghE-HnrodHpaT6A,943
AzseSGgDC6bVtMPEYo1CNQ,942
NTiPDvC99_yK0RY9ltnLgQ,940
ECOUuwE5H1HHE8xBfNAjFg,940
73UjNbSoQjQAOS45rcihFg,939
KSYONgGtrK0nKXfroB-bwg,934
6TUOsIU1vNNQcoauKrZFCw,934
H5Rk-aunuEzGANXCBu-NPQ,933
UlGS2NxZSiph33E3nfovRw,931
wQUBiBqlzC6cbdkX-GaBqQ,931
1cncsHKApeW1ubd5d9HoJw,926
ZDV6ocQSe6dkMt-u011xcQ,926
eJaeTZlIdM3HWCq__Ve4Wg,924
WZUIlyefoUhuH_VkVCEyAw,924
3wo9jODQnuvBm8Gkem6qXg,923
thlyktt2c7v1DyOpSVSibw,921
FqOCC8Y9xryaX7sIBJcrxA,920
_LgI5387qAmMuS8i6h69cg,920
yb2vAoH3E-R11yWmnT570w,918
3JpJ3b8r5jMdAb1yPmchrQ,917
arjkq9xxhTjwmncEsXNRmQ,917
DeVlppoc8dPBhOCPrm4wmg,914
FkmUQqJCjgAYSlckQL0umw,913
mCRa6o1eEVQr1bqV4Wy6KQ,913
mRpk0A4u0hnF0lNe1h4hGg,913
1FURjeGJi_LBXcJQg8eskw,910
Ns8vJxhsc5ygiX7Vff1bDQ,908
4J06--ty2Ydj1---IsArLw,907
X0vPZIkbUj22afBQz5-neA,902
jar_5KMQZtgOseRdUN3L0w,902
ZTctPm8-lBy0iJ9dFhYhyQ,901
sy7ADvpBA7SfHwbY-Y_5gw,900
zwrgCMuZyFX46mL3piDyjg,899
gnpyyeWQ53WlDMJEq-YA_w,898
8eDkw7CE0NKqMknPIu26fw,897
05ev984NYfimRN0UiFrxaA,896
wB1Tin0OW1JRpaKM-E3ZYA,896
8O35ji_yOMVJmZ6bl96yhQ,896
sihT-_DtwOdnDDDJbXN22A,896
MWAzAdxacgzj2I64jwv57g,895
RvTHIKHaPVVp8S9cihpi5w,895
AmI3LIUNwsi4023hOVGu3w,894
vXb4OWsjPoiBtmarfexj-g,890
3FPi2yKCIh0Hh3iBg8faYA,890
3Ym00dQ_oqZ0zunGMLhX3Q,888
MJI-bNIn3QDgiGggm9Wp1w,887
OHzX-ZD9qyoeoxR8Z0dlIA,885
T2JzbrPH2GkY6XpyzNe7ow,884
kbXpjBSweedxQ1WrlJ5i7Q,883
Dzm1y59cLFt8OjTsZRUC6w,883
ALK-7tTvDKAzxAtIiNyh2A,883
Cbktlvci_z4HwdqPUW-5cg,882
6-ixjryKFrCgue3JaHnvXQ,882
e1WJ1qcgF2TBkoYzopeTgQ,881
WhTRPUduXy3mRBYlmSmsKw,881
yE1raqkLX7OZsjmX3qKIKg,881
yE6aDcbbK8pmvNroXnQYQA,880
X8hwEPRoRcLjbKVlVt1b1g,878
sf0rWCnE4vHUlWncWOa3JQ,874
HCqmx4ENAZ76SAjoalj-MQ,873
wIz_tZ88bj4W3VlrJTiiqQ,873
NT5S6JV5wPwKOd3s3Yh1zQ,872
yZHiutcbym-xLGkmFhP-9A,871
XF2SR4yNnIOGRGH9goofuA,869
5DJ2sDvM_XRndlB24DnxYw,868
tf6S06LD09IFDHUpOPqPaw,867
yPxNNSmPHKO3m_kq53D4Jg,867
-ejuzGbu3ZHUndhLTQafJg,865
tMtI6ECD6hwM-nFp2kXLKQ,863
_LOJW0XkOpj4O348GVRDeQ,861
lqyYsXBAO6cVGR0cPCeydg,861
iH9fT2RCB0u4cVl2HLDtqg,858
Rb9QIj-NyRn_giOBN991YA,858
oCbJpGl8IkH1WdYa25TDBA,856
OZcl2HOUXAHuICrh5d2WjQ,856
d4ZPdoYxDnT6f70AZPGrcw,855
9b-LZWsj75mmfMYuChXDkg,853
6ewV-e7-39oqYUq3yZuIyw,852
cd-rz-piYMftZtbFU82x8g,852
HPqTJ_yF2ZJw87yHWnSzSg,852
FHNIvNgh3fS7VZQq2Y3dsA,851
t5qfe9lOZiMyvHfAqwnAlw,851
J8S7cPPlTgsQnXKVfTyN8g,851
UjQnH-pElJZ9jD51vOt5Rw,851
-1B9pP_CrRBJYPICE5WbRA,851
L-VNs3YquPGKVsXl2Ze-Yg,850
RnhLCG4N9MPy6ZRzq787Cg,849
5vObJIHLO-QOMrw_MvC4rA,849
hjRxa6xpKOwnbUgGvVCE5Q,849
43MDfrU28FYjfpamNfL9GA,846
AVf4RO3bh2AAoZeCiPTQNg,846
rYqmaOIULRouz_1db07OdQ,844
63wsqoXuGgehnuGrTW4y7g,844
5CbJgHWgvjyDRw9Sl4BXhg,842
-EHrU_DwtX2Jv4NbAMppTA,841
UjOq8dBVNv9weHrVDqm3kQ,841
qsm7SkX60JsajT7Yz248FA,840
3Z4rhPFO6XWJRQipEIZCWA,839
qsAZNQ-6P4I9r7onkBZJ_g,839
f3eve2cxUIzyanWnHdMtFQ,839
sK0eAOorT6sf2mF5sjEAzg,839
tELoGj2QJYYFQ1jo_XXbpA,837
FGGDERcsTDYt6uLHPWEKrw,837
YSRM9nWQn40eg49tSiI-_Q,835
HyZCLz5O3n24ne8gLgfvCQ,834
ZF0tt7hn6WK3-aNWgtLcFA,833
DvBdqAA3XleMaOMwBl7g4g,832
CTZEnTsW2JYN2NH1BCAaZw,832
60PRpOidld9weYzjWwlMaQ,831
Q6BQcgabriKd5wPxvzOIWg,831
OJEiB_a2I_gxC-ZeayI94A,830
8QqnRpM-QxGsjDNuu0E57A,830
vj6AetpADpHOYtMRZsXX3g,829
14QP5lOdrTAVVCDDuHIAUg,828
swVdc9piXvG0AXwL-F0GfQ,828
V0SHmvYtXqdv8-AsqshV6w,828
vWyg7n0gGVinsrSj68GDeQ,828
I0I2mkCOPTYVSLpc8A8VVw,827
trwHwsXOVV-ZmF-MtP98BA,825
oqbhVgliVJH-iRa3AnD-3A,825
XJ1KN2kQGBIo8h1nWvZNzw,824
CG1Bb2MTraJYTHCPFm72XA,824
csS_UrBujOvjASbX3gLW7w,824
GVWcwqUD-ekCMQ0x2Ke6Ww,823
kxOR-Z62MnMUlCZWQmd2iQ,823
jmwasbZfgj3honf79qKsnA,821
SwBhaxfQPbyhsi0QHUAN0A,821
DOoJrrsqGzZN2FqzvllKnQ,820
WMkiheTT-8kRslImVLWMVw,820
P-TC0VSnUsct3NhYrj5xOA,819
MbzgGsMQpGyVrUJXi_Jw0Q,819
VhBW615VRkiQLP03oAZ59Q,819
z4pCmH_yphNtse3ySNCzFw,818
MMRRS6YhVRx_iN5-JhMRYg,818
dybSe2rNDk1hNMpes9y7Rw,818
3gVSrS4kffGGZT8oXHsIcw,818
YvrV_Tc9syF2Wch0HOIT3A,817
aI3B47Y_AUYFP5K5JAYrlA,815
AhVvuzwWQU__CligbY4r0Q,815
27zlxlmlQu9KBr5Vj4MGeg,814
BY-du320SIHBR9MYUrZSZg,814
VXAPhFVCpwUjG2JIYCHRnw,812
Fs4T7lKpXVtD5Pz7jWSJeg,811
_h94BxrrFKPvzUIRx3Xkhg,811
BxfvdHqETU8jWYUjx5OL2A,809
oqP1oQEycpp4J6u5YebRoQ,807
44Xh-IjWDSn7XTw1hzO50g,807
dgyKoIYEYrmRK_hktWBZdA,806
wbDRmtxaKRpBOjutvV6TEA,805
UboXRwy2UBVH91pAwHiK_w,805
vP_Rkh68ohANnCL-nXED6Q,804
ecI3FBTM0f99Fnml3kNKfg,804
5hAUdFPi1QFJJOlFReVexg,804
0ZsqqzHu1HHkDdIKoivi5g,803
UuRZpgZsHX7PyykHV3wbZg,802
9gObo5ltOMo6UgsaXaHPWA,802
IQ-FUxpwpibrfOpj6d8Asg,801
Q-prSTdggNlxAEFV88BZOw,801
o1DuWXCV_kg_mSqNOxUdew,801
PwbeSKSCBnqXJlAxEaUrnA,800
zbrIMldF_O1ZQ0vpUaaa8A,799
6zEWIsb6Lhr3BeoC3gm1lw,798
qxRTFagnexBZgDe055CjkQ,798
4WdDY97x4GdMYtyk1KQMnw,797
v4AMcIZ--hXZuJIg3luUgg,797
uSIGgRScZmpWlEcHtoaWlA,795
04l8PYcuYQeEkEhJCbhtOA,795
_OMGZ3TXOfN2By7skat_bw,795
fivoAD6x6jXJRiEZwhpcEQ,792
ompDR5sUDpoI6gnTldmneQ,791
8j3blTZChklt3j89jxx0fw,791
zWfzgYe2nT9mHYm_vl1Ukw,790
j4kYliTkKf7k-oDqVgyXYA,790
Q4h1hSX21mzSEUfZ6iU3iQ,789
1fy9fS3UH2k4TfQcryNKkA,788
hS6KNGCQVTYUdLb2edt58g,788
