Business_Checkins,Amount
LklDTDwgJLbUjd67ZKsvCg,5498
sTPueJEwcRDj7ZJmG7okYA,5492
J6ZSgoKCLBDMMzuhM-aYGg,5437
TcNZXteosegb1RO4O5hREw,5407
SwBhaxfQPbyhsi0QHUAN0A,5394
9PZxjhTIU7OgPIzuGi89Ew,5354
uvGfk8eirExWR-B9zsIN5Q,5280
rSYyGcZZziJLsqKl5hMcDw,5158
ntiIq1FNqduOyyowMFGh5A,5113
8uF-bhJFgT4Tn6DTb27viA,5090
LUXRw-mr9emGL2gw4otvVA,4968
IkY2ticzHEn4QFn8hQLSWg,4959
-K0LoSCfh8i5U_y53Krepg,4955
IWHdx0NhDKADkGOgXgOFKQ,4951
iqJ3t9iq0fsWaYL93s8Vmw,4930
plobBsTtVUODb353xxFT_g,4930
qQO7ErS_RAN4Vs1uX0L55Q,4894
m1HVolBJiYajyq07J550jQ,4859
-OKB11ypR4C8wWlonBFIGw,4849
BjeHLwKOlHyV6DJgmZxAjA,4768
7pwFfnB6FH4lflXWrQ2Tqw,4765
XnQ84ylyAZwh-XfHGGNBbQ,4752
WXgV2lOUgas7DzTLeDau-w,4731
znlrxrY4InSx7ekPZxoHRw,4696
oIH5YWPy_g61YXM6R900Wg,4691
N1GYsCd5QAchGOCeQ37J9g,4682
8pqdJjefYq-a9IBSJJmKwA,4656
VAeEXLbEcI9Emt9KGYq9aA,4655
7Iv-6B0EH-yVo5o_VnykWw,4594
ORL4JE6tz3rJxVqkdKfegA,4582
muxda1cSVtplETqTfYVgZA,4487
5Z7HXqp22lSiN0Q8iF94hQ,4478
3YqUe2FTCQr0pPVK8oCv6Q,4476
1b5mnK8bMnnju_cvU65GqQ,4467
tMtI6ECD6hwM-nFp2kXLKQ,4461
ww3YJXu5c18aGZXWmm00qg,4444
RvTHIKHaPVVp8S9cihpi5w,4324
OdIBX09glfXNVSyd0RnIeg,4306
ODnBnY1yRXwhuWAWydVsCA,4302
AFYI0sfZ6WdVELjjEYOIpw,4279
nRKndeZLQ3eDL10UMwS2rQ,4248
6ajnOk0GcY9xbb5Ocaw8Gw,4210
fCDMLD21ypv1XZ_EyafCkQ,4202
q-zV08jt6U-q05SMEuQJAQ,4198
RLlOK2fL6xU1sfIPiP2QBw,4192
vN6v8m4DO45Z4pp8yxxF_w,4185
qY-BUQY-SFBaSrFHowF3nA,4182
1teRq-Q6XG6l-WoinZFX0g,4167
skY6r8WAkYqpV7_TxNm23w,4121
-xaY1TlMf20Ol9QLcDSU6Q,4117
sihT-_DtwOdnDDDJbXN22A,4116
mzTTdvQGkUHZ8ii7OnZC5w,4060
VgAKmXE8B7J0I_O_R13UKQ,4052
EreYgrQPuR7Sk_FKeZZg9g,4019
Sv1MEZP-mMfp8SmE0hwYEA,4016
3WU1ZobAqXQ07xYoKE2Vyg,3975
Rl42JbSMsmNW3LRjsTMYAg,3958
DPtdBtLp6ng9cAB9_rzB6g,3950
Qw7tz-UkPrpXaVidWuab4Q,3943
LdECsE8lJS7v5GTFTcjPSg,3936
Vz2RN55rTJBGn43K1v84nA,3929
zafEaH7VOUkd8-9wFlnlmw,3902
jQBPO3rYkNwIaOdQS5ktgQ,3895
bzjOYERJv5YwW6Q8lUBcJw,3874
PGd06nrseC2YAIqP6S9gUA,3870
ITOkOiX-hfsazVPpFFQVJA,3867
RscMwBafa1cZh94tGlZT_Q,3862
k-tHn9uxgWdq1ROHqwc-lw,3862
J0joPXxmN-_9Lzafspqdbw,3819
iB2iYXjbovqoKUsV2TNReg,3802
p_qSQwShIgQnNxGcajI4-w,3799
DXDoh8MNrqjtXsZnkuk4hA,3784
C9K3579SJgLPp0oAOM29wg,3768
6RBZfirnzE4NahJTn1UPNA,3751
e-i6jvgVv4TqjsYT99-ajg,3739
NiXwGOozHmBbCN3-GpsYFg,3737
OWOOc0YjU_kioLeEgo5VCA,3727
PZcS2-2DCssSz3v2Qydriw,3721
ELY0HI8GDEx0jkmREVna0A,3696
_NozEKb4y0jkC08DWU8ywA,3692
8yR12PNSMo6FBYx1u5KPlw,3690
kZ1q0K13tFYG_ZJrVvsJHA,3679
0RuvlgTnKFbX3IK0ZOOocA,3668
kbEVlzQLcYS3JSQPG9QMOQ,3663
UNkOa6syMXonsoTErl2BIg,3658
t9LiapsQABwMQeiF1Czl6w,3648
4hv1n1VBzMvE-T4UtIcOcw,3633
6Pu5MKIWbn6FO-oebSSrYQ,3617
82gwcD3UmhQ7uwNwkeNKTw,3605
mhrW9O0O5hXGXGnEYBVoag,3596
sy7ADvpBA7SfHwbY-Y_5gw,3596
1YflE3DkiCZGgLnf3paLnA,3591
dsfRniRgfbDjC8os848B6A,3589
eyQL0pS7agcZtdKYQ-tJGw,3586
WxB8498ejPtHE7wFa89_fA,3583
iUZEGx29miZObLd6_lt7Vg,3580
9f5GXEeTvBWnrZ-AHEjgJQ,3574
iRIHK8-EwpeffwvoO4nzIA,3567
2BMk_drsikKWslJCXmQtjQ,3566
RQAF6a0akMiot5lZZnMNNw,3557
-1B9pP_CrRBJYPICE5WbRA,3552
iwmW2mgcn2YdirXUHCsgXQ,3540
ReX09lhufLTAx19krkltDA,3520
FknpD7tLt59-6ozV3Pk2Vg,3512
PWWGbkPC_agn-4s1Hv1W5A,3496
S_jfDqc2TUhkraTpeZgqjg,3491
l4IeGBHXV2E8S8COd9rx9A,3479
hfbZ97Te3T4jeWN6GgsGrQ,3478
W4ZEKkva9HpAdZG88juwyQ,3467
arjkq9xxhTjwmncEsXNRmQ,3454
-mIlmp5l4hKlp1tvHRdvTg,3432
rgeuy1qbw6Z8B6CSVANHIA,3425
xsbAV-wtWiZTSRxJd3vsDw,3418
SyKHFYhRzW1hlwDga5EWWw,3392
cOXc8c85Ms6dMEAJazLXHQ,3383
GST3wg-wej15vHeCvaXE6w,3375
SyAYFxPBjuaHajx9iE7wLQ,3368
yz0KWVamNhqiZGz7XTClzg,3367
n_fUROdhfmLwd_mpBi55ew,3365
pSmOH4a3HNNpYM82J5ycLA,3342
CPFKi2lZJazP6IdtCdDDyg,3329
P_QAD4_iMgqTaWd5On_n3g,3329
-VlBFlHwX-Pt6Xyzs9roGw,3320
L5LLN0RafiV1Z9cddzvuCw,3318
ChlcxTEoWBQJXJ2Xb2vm5g,3317
uMVOtr16r1ELu46pWr4HCQ,3315
OBHirkn1QCd7rsYHYtSdwQ,3312
qUH2FppY7RL96F5tXzA0hQ,3312
lpDOqBhkJlxACzKQGAj_uA,3303
OHzX-ZD9qyoeoxR8Z0dlIA,3287
aUoMG97DMJG4nmwhT6z1zA,3285
S2Ho8yLxhKAa26pBAm6rxA,3266
c-iKAO2GBzSKjm7y1Oljcw,3254
_OMGZ3TXOfN2By7skat_bw,3251
UCMSWPqzXjd7QHq7v8PJjQ,3245
EtM079Cj7-B3G7jPsGYb_Q,3239
8kh6Z3c8UHQKmsy0_TbOnA,3238
gVU0U7gNBMQxKTzqmRtdLg,3233
JhpRI9m71ybWHkAqRdL0Tg,3229
elEQxid6rZ3tRZF1Kwkr9A,3221
vWjME92WddneF98IqzaNfQ,3216
M0r9lUn2gLFYgIwIfG8-bQ,3213
oqbhVgliVJH-iRa3AnD-3A,3205
_aKr7POnacW_VizRKBpCiA,3189
nYsNsyIppe_DTueBha1x9A,3186
_zzNQl6ImFw_B64cSdaoGA,3182
eL4lyE7LNoXEMvpcJ8WNVw,3174
UeYZgcORV2Veo_BZzdiaTg,3167
FryXEasH74MQDnj5Bvz3QA,3162
OrU9wTeHJSLMwyGqYg4FAA,3150
jkGQQ4_LgJx3hwPtCFkzbQ,3143
XkQadWW9bUR855KvPZBNUw,3141
KC4Eo1S3AMA2qk8ULiLEkg,3137
KlZvP_k_VEJV0G-6tTqnqQ,3131
EtKSTHV5Qx_Q7Aur9o4kQQ,3128
WhTRPUduXy3mRBYlmSmsKw,3126
4gszBjoouIzfi1ltSQZ2BQ,3126
3wo9jODQnuvBm8Gkem6qXg,3110
MkF4gosEaJqJ3tNk1BZiwg,3106
ctHjyadbDQAtUFfkcAFEHw,3104
h6IzeUVASeDtvKhd2PEsKA,3101
6dDC5PSmPEoJYuM8r8dN_A,3096
YPTYOQO8Lg9BtHsRwYBY7g,3095
O_0H42Bw8hBduWSADPG8ng,3093
v4lz71o76wWD8H15NsbZGA,3085
ve_-rPlEGPClytyJtY55Vw,3084
jmwasbZfgj3honf79qKsnA,3081
qISf5ojuYbD9h71NumGUQA,3079
4_OXOjAUA9Q8L6VdZz692w,3074
X8hwEPRoRcLjbKVlVt1b1g,3068
tQIw_BZzfjh8UC4Eqhd0XQ,3061
-Tskf8WK17rb3ZfeFuRSWA,3054
jar_5KMQZtgOseRdUN3L0w,3040
Iw8uqNPxviwcgxtruAx_LA,3038
QaFbv7aLQBcfT4xMF1_WnQ,3028
NIQWO-Q_F598XlAvZnFVCA,3024
_P4ZlE_3h97jt9o7-WSXmw,3022
HhaL0aFNFXsxitfL4E7upQ,3020
AzseSGgDC6bVtMPEYo1CNQ,3017
bp5Mk2d0qofUeF5uLauIbg,3011
Zi-F-YvyVOK0k5QD7lrLOg,3009
pUlpCJBYR7chLMMUKA5Ydg,3007
poviu-6n3iaRE4gdQz6OYw,3000
mfXnvm5TWmKXn4JtU45hMg,2997
Mr7Aov2n7wPCpwaUxk8lCw,2995
75FY8ZQx5nOWP0VFmNvWfw,2988
HKdAOvtDv47zPjceCjbz4Q,2986
Xf7j8TdmcFpiThqW9UMziA,2985
XEQp7kQVLJNXOXs5i_pU-Q,2980
aREOVt958pzJsuNmX1-LUQ,2954
MGZ78q9z2XwotVNcSInoKQ,2934
2OXCAbz3x_MrQSYj1zarIA,2925
S8ZFYEgMejpChID8tzKo9A,2923
NiljjvbIIzQPxIPqeLLg2Q,2923
ltBBYdNzkeKdCNPDAsxwAA,2921
3qEjUW12sH6KOBm86ZDmTA,2920
EpREWeEpmR8f1qLHzzF0AA,2918
edJoBsse6nsF0BYh6pATAg,2912
-FM4CxOg4XXmX_Ebky_SiQ,2907
GoYSJ-YY-YwbxdgasHuq-Q,2904
wUZXm4KN2wIqlfkvXVZXUw,2889
2N97axWHko3rzyzOGCxxBA,2885
tELoGj2QJYYFQ1jo_XXbpA,2881
99xTcKwadFwSxB2i76GT3g,2871
pym7c6ZFEtmoH16xN2ApBg,2856
aM3gFY8Eq2KJuvNBlGPJEA,2839
LkCFcD-5QyNIUnEfO78npw,2838
1sO-Ujuvs8igSyaD35xx4w,2832
V9VLhHdSFpFi4yXFqVcVEA,2831
9ugpNKKhnYRa51qXoxUw_A,2829
6pVVwtFmd7VBsgyFPHvU_w,2827
ReV4Q3rEJ8neicQPc6pC0w,2806
NHb6QTrJOnyIj-Zd0fYzFg,2788
MAIfD4kJDCydgoD1l2b_vw,2781
F4gvookXrKsBNCvK_xEt1g,2777
HF8gKF3UDiSc94YWd03kkw,2772
BxfvdHqETU8jWYUjx5OL2A,2770
8kUh6TROemLfbVR_ewVVLg,2769
g04aAvgol7IW8buqSbT4xA,2764
AhVvuzwWQU__CligbY4r0Q,2763
Ih6_y2nnbg2Jw9Qdc876GA,2754
DEFte_S3i2EcRLH7XbWQZA,2752
4bOqibZuKDbnOa-K0kM4Sg,2750
9xdXS7jtWjCVzL4_oPGv9A,2749
a32M9H9nkkPGKTKB5W27NA,2747
m6Q6z3SAkXVdidNqiKmBrQ,2744
e5fCI12X_GLCST668S4ROA,2737
o2loFPjTN8zlkhb8Q3WTnA,2727
cXSyVvOr9YRN9diDkaWs0Q,2726
t1qF12NdW8KvCqxqbvy-Hg,2710
Bj7DL3SwmYHZYqPduAsa2w,2710
j8JOZvfeHEfUWq3gEz6ABQ,2703
0WrdiQ4qJBu2Gc7wRcIfdw,2700
atZ_olNKXOG4rEr6mccN8g,2693
IvAa7PvfOYl0xRML5W3ebg,2692
HROYl0HizoW5PgXJ6uAk-w,2690
THJ0i8yRyx1OfvzLsJXgng,2680
cHCRC7r9irhK0dIum1zeUw,2679
wo9kN5iSlUNG6HIH7OLurw,2675
aK6SFvgI_EniVsOnGsvHhQ,2672
_Bi9kN_eR75G1eqIl7S3pA,2659
cQIh4YJlVtZI9TLF5_smOg,2655
ivD5l1I3a146ZDGIfr6HYA,2653
6wqxuBt2InDipRuUj8BNuQ,2649
N2dOYDp9aKOBxyO2esgrgw,2645
M35BYETJon2nKyim2lxRZA,2644
E_jnzr_iuZGeUeP-5VMi2Q,2643
ZhA88ILcgEP9DNwZDx7f0A,2641
5kZtETKu37RuwHATrB4a5g,2637
AlH5V97JSAu7AL_xdibMIg,2637
8_VaLzyX-H0nzbFIKcoyjQ,2633
sjm9TFtN69KrVsgajcL2Pg,2630
-tDmeO1Q5aqThVY3AFJJ7A,2630
HKS-63JzfR0DMNVLBuokYw,2627
2KIDQyTh-HzLxOUEDqtDBg,2624
E_wwKdlWHnjpuEpiOMKPfg,2615
lEi0T3m96A2NXXDSn7569A,2615
ipZ7neK1bjBAUrCqyCvB_Q,2614
uYMVRPYEqpmVXWN2xOs5KQ,2612
5oX4G1cptixPZecih9L3dg,2610
UFCN0bYdHroPKu6KV5CJqg,2609
4YoVUmkpUBNtdYa804Wzvg,2603
u7uFQCoHFtBKCtbWUm6yZw,2599
OAjof8dhS2zScmZh2Xuo1A,2596
NTiPDvC99_yK0RY9ltnLgQ,2586
Bxmhm659VqrQYHc0hiku5w,2583
J8S7cPPlTgsQnXKVfTyN8g,2582
3TNaIkVUKrHzeeWMo9DMkg,2575
dzAo5l1AAHnz8Ln5uim-ZQ,2574
mf0OyZ6DX2iKUFIV9TqFRQ,2570
GqyOrF5X21ciTjnuSCH5PQ,2560
YSgcojsb2kWHXNLWaGCuBA,2557
2yHl6wl1iFa_Jo_SZcmSuw,2551
YPHDzg1h-PkaxfoppT-iJg,2550
KTsB7DO-kXVcy23Ds7_PFA,2549
hV4nDgVdVvtQx-CMt0rbUg,2544
UGefDZNmnBztS0eoXWtHyQ,2544
Rmx12lwZbs94MkPaS2o7vw,2542
E359ITHKa9CVe9cTOofZUQ,2539
Ib9HV7ekw459jM1Ksdiyiw,2534
IZZ_uR2ps5KuuyE0n--jVA,2527
-9NmUeTphyS9Lq1o9MACGw,2525
nuWWMwtNpgpqNn9UPGTm-Q,2523
_78Lam9Jd0W6ZmnHTvdjMg,2522
Dv6RfXLYe1atjgz3Xf4GGw,2522
JvawJ9bSr22xn4R9oLvl_w,2518
jMZ56S8Y1t7cA1Ob-d-qeA,2515
5j9TfW8RrdkpaHlaBwt6bQ,2513
XlIuTI1NRLzLlp11x-PTHA,2507
s9ceDy-cVHe0uzvZpWq87Q,2505
eCikDKFbaeYVNdCD2beX0Q,2505
EmHXLffnzvntWzO6Ba3Atw,2505
yYyljEUFGkezQXpzRlfqQA,2499
dBRWKIS7h-qZCi8EjUJ2HA,2497
H26zRyQkXXYzUZUOtppFcA,2495
I6L0Zxi5Ww0zEWSAVgngeQ,2495
htO_nlxkEsYHzDrtbiUxew,2482
8j3blTZChklt3j89jxx0fw,2480
eaDZlSuVS0EY67Ke6pRP6Q,2474
Qlmusk0BBY0kMOd8Y96H4A,2470
2O6daloCkf6fYhSTVIR9gw,2470
dG-gZOWzn8iO1Rvv_fbXxA,2468
Ss6f5v_t5Vddiaz4ZOxL0g,2467
3iUCCf1FWmjlFbGYvBgf9w,2464
9HvjjSwxxubIhG6E_sObfQ,2461
K7KHmHzxNwzqiijSJeKe_A,2460
quk6TFDQyuQ4g0KuIb9qUA,2455
yZHiutcbym-xLGkmFhP-9A,2446
CaeQdLXEyf9hOnBQ0d4gsg,2438
gQYUyfiX0q0uTnueAyeqLA,2435
qdeihWuKPKa5fvKw-qTOgA,2430
iksVwRfpWymIUUFqw0tXpw,2428
vWyg7n0gGVinsrSj68GDeQ,2427
8QJTzIaR5FceGds8HBSIig,2421
FEBwxZMEpxRwVXx9Fm0XZw,2421
xlMQBBt9wrtahdqiRDcVSg,2417
CYwC5OjwCN6ib_AQDxi3Ow,2414
vHr8qhM4CXYB3Ol_9yS6QQ,2410
i_FWONQD1ZBqrNE2b-M5Ug,2410
g-IXI3v3fOudMsyLPKb-eQ,2403
McQo2QJGt1BI9oPu6KLDjg,2398
R0JUjyjGEzUlY3auVhY_tg,2397
KAR-LpoXQc-awbriXyoxPQ,2397
fU73W34W4sHFtQaGAkkc6w,2397
dclL14pr7OojCOKJ_ZbMbQ,2393
Ns8vJxhsc5ygiX7Vff1bDQ,2391
_V6hl1oGkTV2KbGeax_HPA,2390
4NozMd-0ufrS7sUZ95948w,2389
F2C5ENuY8CXfgoW-gAMdDA,2383
V2cQOeZwPBmjpln6_p1Ygw,2383
1WwrdoWB8hY-WDA2YWjH1g,2380
6zEWIsb6Lhr3BeoC3gm1lw,2378
FTFaEinJgzqY0ZHQMUSpQQ,2376
Ps7Q7BOKzJO4nDTUhbk43Q,2372
44Xh-IjWDSn7XTw1hzO50g,2366
06pNHtxgPhGhZpM0Z2uzNw,2364
KnsY8rh5tigp5t6WpilGdA,2356
DNMdZVVfhus2H-dH0mI3HA,2355
etgp4wFdl17tN1zkdH3bNg,2352
LwX2vbzttWYAdoBoVtfvRg,2347
vSuBdRP57QxIvURlZV-6FA,2347
4Cal2AE6cr7m6nL20Rz2kQ,2346
Q-prSTdggNlxAEFV88BZOw,2339
od5yoX7MmEYvZ9l6Fsdpkg,2339
16tjKOvMw_nOgNViq2LwOQ,2338
n_7EQxn0ciucIOJfpWVaTQ,2338
xIeHG2cqw7XEqy_M82zA7g,2338
J-sxpWHWh8Q-85nEhcEYdw,2334
LM54ufrINJWoTN5imV8Etw,2333
TDKBPcViJQDMrdUm6a9XZA,2331
73UjNbSoQjQAOS45rcihFg,2330
mnwTbHyIgpMvOG9705zqWA,2330
q6hWVlVeiCgMgM22wt1wfw,2326
ReVpjIDupK_VMPn7ZxPvOQ,2323
1UNJeHTsS7WS9RxRzHw06g,2313
DJFxBTBIgYErzKS5cA_LiQ,2313
O2lFAWD2WXXx5EKkzPutWQ,2307
KC8_Rx4Orlsz8LIonCYXsA,2305
ku8cAVBLaF_4rI-yK6gNnQ,2305
b7V_5q22_eTeHlYzq1bpFw,2304
U_hgCCf3CZs1no_BYXU8zg,2304
vP6BGF8IqbXlLQiDP5n6dA,2299
AjxhKYSbc1NrGOxAcqxb9w,2298
AMi1h-goNueHf_Lvx4Cu4g,2297
ymoEdJB5NE56sWw74uyX7A,2291
RnhLCG4N9MPy6ZRzq787Cg,2290
hXvf5a798WvQtFn0Zbh2yw,2285
Meww6RIE4cFL_kG0aRlbAA,2284
1a_-iqkAhzfpS_Jve_kLLw,2284
zwrgCMuZyFX46mL3piDyjg,2282
MMRRS6YhVRx_iN5-JhMRYg,2279
4hdSKMhViv3knwCF9auwYA,2278
-PmTpU2fJwW12jIuj5HXyg,2275
9cybDNxJ7cyNVkmwm-ktcg,2273
26jYcdFR5oLqKDKpTH0JIQ,2271
o1DuWXCV_kg_mSqNOxUdew,2270
REiAM73RkOxFqCVlEFiRWA,2267
yPxNNSmPHKO3m_kq53D4Jg,2267
EQ-TZ2eeD_E0BHuvoaeG5Q,2265
tHFD7jmowhBp1E1ApQHzpA,2264
SYHDOHRNAH-2xsw3XB5qbg,2262
ezB8e2rijjViprrcTdIiQQ,2262
eJaeTZlIdM3HWCq__Ve4Wg,2261
diwwt5QBU3-Thig9SVlsOA,2260
FkmUQqJCjgAYSlckQL0umw,2259
ssWHf06L2mtISgSJfTSrzw,2259
6_T2xzR74JqGCTPefAD8Tw,2257
YQd-SVdwWiK5-_7S5xwzoA,2256
WOpG-Xygx28cKf2MC3CJcg,2255
Frk2xGKjxbaEKLc2vPCUNQ,2255
K3RURR9lIEE4JjOaPt99zg,2252
yb2vAoH3E-R11yWmnT570w,2250
wB1Tin0OW1JRpaKM-E3ZYA,2248
gY4kIh8f9uCk-XI0FPH1fg,2248
JUlsvVAvZvGHWFfkKm0nlg,2248
LmKpHMXSsm36viJOGVodFw,2247
iWy6Wft0MMO9Ud2wM93frg,2247
i6YvzoCYT6vCxBxqD7nR-g,2246
8YDJraW_cg5IPTPisPfB-A,2235
OCzo8T-76iJ_QVB2UX5SEQ,2233
IKMAgK2m6WRIViVFB2vAFQ,2233
3CGXa85uNgvp8Berx5AhQQ,2231
EBonJ5tjkxBEUezwosVlLg,2225
0a9Miij7BFmKm83Iqni5sA,2225
oGDGlUbOjHxmmCh8ZYcDCg,2223
FaY_9x8ZtsuHe5wS2iJM1Q,2220
iH9fT2RCB0u4cVl2HLDtqg,2217
TwnzM8mJn_nT2PJf1x-9kQ,2217
PVieWiYn8GK9GSLnNFmOyA,2212
JEhPHeoLQhkOIWMZn6k8bw,2209
Bg7D8LrsW9XbYlEhT9yekw,2208
h1_eW92xqrPrY-LVKkHPNg,2208
rDIQ4W09tuEYFisndh_mgA,2202
6x9hcZ1CJ4S9avBgPGS7-Q,2198
TV81bpCQ6p6o4Hau5hk-zw,2198
GAuweBrcC_wK3a0UhZjwfA,2193
OMT709IPPEwN91CAXpe9dw,2192
eMiN8nm70jjKg8izikVWDA,2187
yiOdk7N4_id1f5nwGvVAgw,2186
2HMf3ewAeMaeDsadJuL8DQ,2186
7kHvPCBSmRgzDgjO9xXT1g,2186
DkVFvHGyNBGuPMzI9Zdt1A,2184
MlXH9dWYDFEBbwuGStlfZg,2183
GX4TlkyhcVwQVuPNJ3YvlA,2182
f8MSbvd5JotxsFsS6fbl-Q,2181
ECOUuwE5H1HHE8xBfNAjFg,2179
tUkv0ZxUAdpyv8qhgRU5TA,2171
54XgUhaR0kDqw8bgbAEAtg,2171
qdiuVbeHgis5LOgDJMBfcw,2166
d_UJWp4IlGS4sgnjE60eBw,2166
pnERnL4RdJe5gtTL8JIakw,2165
30cpm1uq6xcQCmN6JTrB8w,2165
DvBdqAA3XleMaOMwBl7g4g,2164
E7RtIisUoRMcADSebBgNAA,2163
E3Qk7xTznkT0SABL2ltpHA,2163
4F287owAhz00enjrZE7ZOQ,2154
WMkiheTT-8kRslImVLWMVw,2152
Dw9_RLgP0lb6pA6q0v055g,2152
3XXt0s_SDC9SyFTiIPNSgA,2148
5IvBJJl3bemFixZ9uh_wXg,2147
JjmmSW_QQh2Db4fuIEMATA,2147
ixPTo6Hum7nNZ7A4VPhTXg,2142
4J06--ty2Ydj1---IsArLw,2140
1aj1hnqPt3rqoB8tVRHLEA,2140
i5C6RVgr03HSrgCl8oa1Fg,2139
FNjY9rzdB0j-DYuKC0DmOw,2139
-AaxZJ_I4rSFOBJbBz4SlQ,2138
KXecZki-_3N7afs6HKWM3A,2137
VeJqScDLsoA5WasQSv_Jfw,2137
2i6DI1RBQIaD5DxHYHot7g,2135
8UPv1p9GW-BiZtQqUt8nOA,2130
GIo6CTonm96GbnHqLsw04g,2128
WrZaL6BxHqVqt3sAcJ-5Rg,2127
_QkJXxFedFQSp8U6rDICtA,2127
uv3yhJ9Ffhuz_2AR5SmOjQ,2127
kfqgGm2hJUj4NXEkkk1qIA,2125
z0MXYel0okwMqLjgMkKD2A,2122
YuXADoMiw2YqKgT0h1jrIA,2121
O286wXm4mcznQn_1JieD1g,2121
s-Ff-8M5-AR-5jl59lCj1w,2119
gKBqK-FFq7EGOUscBqb1iA,2115
Ppy-UN5RptIog4AvNnAM-g,2114
JdR1vhCkBiTNkh_kM6Wsjg,2112
Rzx2E5XgTeGU7FEbUZ-bGg,2110
5xokROlB8Zo5T-_qbHzsrQ,2109
8NyDM-FDoWEEeEG9XUwnbg,2106
hPd6uMCjNglnOwwHpkY5Tg,2106
u-wkhjV7CfvGJVY7hGULjw,2100
_0QZGrg91aaiMhh7tQyYYg,2099
6ewV-e7-39oqYUq3yZuIyw,2098
9w-LZEkP1hf363G-OYvKDg,2094
VVI-_ThO6YEP4ZeA1_Y4Zg,2093
Gb5nFcTgOBWeMrmCIbxqJA,2090
oLc7k78_YcDMnMCdbC-h1A,2084
OZcl2HOUXAHuICrh5d2WjQ,2081
R8t9g5nvi7VFyS8zsgmj8Q,2080
4mWzXhD8vo0bABVCGAhlqA,2079
bf32KWp9yvN-WT8c-QtbzA,2077
nB0dV8yPv29F3-CFMPG8cw,2077
pfhI5rPULH163H3F0LNXxw,2075
z680Aylt8wN2KAeFM1hy-A,2073
Q6BQcgabriKd5wPxvzOIWg,2071
A0RSdFWqs-keuOogaMjZ4w,2070
LZzDvgfpkd4nI3E4L9wF1w,2069
34Eqv8jXgxg_EEwcsNgeeg,2069
UH87t9fT_oTLMZfr5iCbQg,2066
QCaidu0NAS_sseca_xe4hQ,2066
Bkdw-AhJi_ouPQhzl9J9wQ,2065
1bzQnwSL3EsGqADWiPDF6A,2063
pwMejZZUizAZ4aOADafVPg,2056
lZX5_8qspEXtMJGFQ0-Mow,2056
ZKPrXH_GNW_AtZ31tP3NmA,2051
eoN0GAIRV0WmwUm7FmzKgQ,2050
k8hFz4Gty5dHlDV4Wt8FqA,2048
jZYkQS6S2jqiak-R5_x0qg,2046
PlaECqs3oPBRo47p85zkzw,2045
fZuNemxoVGRN2ENWu9zvcw,2042
frb1sGu3SvTa-ZZ9ZeZ8Kg,2040
kzxpl9HidQVMEuUoRVB7nA,2037
15BlJKQfD-SLJTebWa14EQ,2034
zljfjg_zTL3ceGi_Vr4OFw,2034
